Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Fix versions,Components,Components,Components,Components,Components,Components,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Polaris work item link),Outward issue link (Polaris work item link),Outward issue link (Polaris work item link),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Work item split),Inward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affected services),Custom field (Approvals),Custom field (Business Case),Custom field (Business Requestor),Custom field (Category),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text (view-only)),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Name),Custom field (Epic Score),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Functional Unit),Custom field (GEP Jira Id),Custom field (Goals),Custom field (Issue color),Custom field (Justification),Custom field (Locked forms),Custom field (Number of user affected?),Custom field (Open forms),Custom field (Perceived Value),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Add facility names to all gold tables,DF-675,41578,Story,Done,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Alvaro Llano,712020:00432dc2-c010-4b4e-8188-e79048d92252,Lee Pattison,61d60cf3e7637900680e44d0,Lee Pattison,61d60cf3e7637900680e44d0,30/Jul/25 9:50 AM,15/Sep/25 9:20 AM,,,,LakehouseETL-1.4.0,,,,,,,,,0,,,,,"Add facility name (and not just code) to following gold tables:

* Posted Volume
* Deductions
* Meter Hierarchy
* Customer Summary
* Customer Volume Historic Proportions ",,Lee Pattison,Mateo Fidabel,Svetlana Garaev,,,,,,61d60cf3e7637900680e44d0,712020:1019fe96-0c82-49df-a1a1-1addad717125,557058:df742dde-c297-4b5d-b42f-35d95bc257de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73b1820c,,,,,0.0,,{},,,,,,,,,purple,,,,,,,,0|i03zw8:,,,,,,,,,,,,,,,,2025-08-06 12:29:31.107,,06/Aug/25 6:29 AM;712020:1019fe96-0c82-49df-a1a1-1addad717125;Merged in [https://bitbucket.org/keyeradataservices/keyera-databricks/pull-requests/35|https://bitbucket.org/keyeradataservices/keyera-databricks/pull-requests/35|smart-link]  ,20/Aug/25 3:59 PM;557058:df742dde-c297-4b5d-b42f-35d95bc257de;[~accountid:712020:00432dc2-c010-4b4e-8188-e79048d92252] [~accountid:712020:1019fe96-0c82-49df-a1a1-1addad717125]  Plant names do appear in all the above tables in the new schemas (keyera_enterprise_prod.gold_business_development_gnp and keyera_enterprise_prod.gold_production_accounting). Moving this story to Done.,,,,,,,,,,,,37119,DF-16,TIPS Volumetric Data by Customer,Done,20/Aug/25 4:03 PM
"Move Customer Summary, Customer_volume_historical_proportions to new schema",DF-674,41575,Story,User Testing,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Svetlana Garaev,557058:df742dde-c297-4b5d-b42f-35d95bc257de,Lee Pattison,61d60cf3e7637900680e44d0,Lee Pattison,61d60cf3e7637900680e44d0,30/Jul/25 9:47 AM,17/Sep/25 12:47 PM,,,,LakehouseETL-1.4.0,,,,,,,,,0,,,,,"Move: 

* keyera_enterprise_prod.gold_tips.customer_volume_historical_proportions
* keyera_enterprise_prod.gold_tips.customer_summary

To following schema “gold_bdv_gnp”.

They are currently in “gold_tips”",,Alejandro Cabral,Lee Pattison,Mateo Fidabel,Polina Pranova,Svetlana Garaev,,,,712020:cb9e83dc-57be-43ee-bb65-f55850e05abb,61d60cf3e7637900680e44d0,712020:1019fe96-0c82-49df-a1a1-1addad717125,712020:a1251549-b5e9-429e-bdac-bfe9b030be91,557058:df742dde-c297-4b5d-b42f-35d95bc257de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/Aug/25 8:34 AM;ug:390014ce-9eeb-4986-a91b-cbe63aff77da;image-20250815-143425.png;https://keyera.atlassian.net/rest/api/3/attachment/content/27532,20/Aug/25 3:58 PM;svetlana_garaev;image-20250820-215419.png;https://keyera.atlassian.net/rest/api/3/attachment/content/27637,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6588c97f,,,,,0.0,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-08-13T07:25:18.824-0600"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,purple,,,,,,,,0|i03zw0:,,,,,,,,,,,,,,,,2025-08-01 19:55:53.915,,"01/Aug/25 1:55 PM;712020:a1251549-b5e9-429e-bdac-bfe9b030be91;Hi [~accountid:61d60cf3e7637900680e44d0] Please review and confirm the definition of done for this story:

# Please confirm if you find the following definition of done as accurate for this story, or add your valid points:
#* Tables to be moved to a new schema:
#* keyera_enterprise_<env>.gold_tips.customer_summary (depends on posted volume)
#* keyera_enterprise_<env>.gold_tips.v_customer_summary *(view on top of customer_summary)  --Do we need to move the view as well?*
#* keyera_enterprise_<env>.gold_tips.customer_volume_historical_proportions (depends on customer_summary)
# the new schema ""gold_bdv_gnp"" to be created under keyera_enterprise_<env>
# Ensure that the tables are completely moved from the old schema (there is no copy remaining in gold_tips)
# Ensure ETL Code is updated to read and write to the new locations.

CC: [~accountid:712020:1019fe96-0c82-49df-a1a1-1addad717125] ",01/Aug/25 3:35 PM;61d60cf3e7637900680e44d0;[~accountid:712020:a1251549-b5e9-429e-bdac-bfe9b030be91] confirmed. ,"01/Aug/25 4:42 PM;712020:a1251549-b5e9-429e-bdac-bfe9b030be91;[~accountid:61d60cf3e7637900680e44d0] I read your confirmation as yes, the *view keyera_enterprise_<env>.gold_tips.v_customer_summary* to be moved as well.","15/Aug/25 8:34 AM;61d60cf3e7637900680e44d0;[~accountid:712020:a1251549-b5e9-429e-bdac-bfe9b030be91] [~accountid:712020:1019fe96-0c82-49df-a1a1-1addad717125] 

Sorry Polina, this one slipped by me. Who provided directions on the view?

!image-20250815-143425.png|width=921,height=258,alt=""image-20250815-143425.png""!",18/Aug/25 5:53 AM;712020:1019fe96-0c82-49df-a1a1-1addad717125;[~accountid:61d60cf3e7637900680e44d0] We haven’t applied metadata to customer_summary yet. The description only highlights the difference between the real table and the view for now. This will get overwritten by the metadata.,"20/Aug/25 3:58 PM;557058:df742dde-c297-4b5d-b42f-35d95bc257de;[~accountid:712020:1019fe96-0c82-49df-a1a1-1addad717125] Not sure where this belongs, but the Customer Volume Historical Proportions table in the new schema (keyera_enterprise_prod.gold_business_development_gnp.customer_volume_historical_proportions) shows percentages X100. For example, instead of 100, the value appears as 10000 (see the picture below).  These percentages are shown correctly in that table in the old schema (keyera_enterprise_prod.gold_tips.customer_volume_historical_proportions)

!image-20250820-215419.png|width=862,height=500,alt=""image-20250820-215419.png""!","15/Sep/25 12:20 PM;712020:cb9e83dc-57be-43ee-bb65-f55850e05abb;Hi! The following ticket was created for this: [https://keyera.atlassian.net/browse/DF-720|https://keyera.atlassian.net/browse/DF-720|smart-link] ,
And the changes are now deployed to TEST, ready for verification.  cc: [~accountid:712020:a1251549-b5e9-429e-bdac-bfe9b030be91] ",,,,,,,37119,DF-16,TIPS Volumetric Data by Customer,In Progress,30/Jul/25 9:47 AM
"Move Posted Volume, Deductions, and Meter Hier. to new schema",DF-673,41573,Story,User Testing,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Svetlana Garaev,557058:df742dde-c297-4b5d-b42f-35d95bc257de,Lee Pattison,61d60cf3e7637900680e44d0,Lee Pattison,61d60cf3e7637900680e44d0,30/Jul/25 9:44 AM,17/Sep/25 12:48 PM,18/Aug/25 1:30 PM,,,LakehouseETL-1.4.0,,,,,,,,,0,,,,,"Move Posted Volume, Deductions, and Meter Hier. to schema ‘gold_production_accounting’.

They currently are in ‘gold_tips’.",,Lee Pattison,Polina Pranova,,,,,,,61d60cf3e7637900680e44d0,712020:a1251549-b5e9-429e-bdac-bfe9b030be91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a37892a,,,,,0.0,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-08-13T07:25:18.824-0600"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,0|i03zvs:,,,,,,,,,,,,,,,,2025-08-01 19:39:35.835,,"01/Aug/25 1:39 PM;712020:a1251549-b5e9-429e-bdac-bfe9b030be91;Hi, [~accountid:61d60cf3e7637900680e44d0] 

Please confirm if you find the following definition of done as accurate for this story, or add your valid points:

# Tables to be moved to a new schema:

 keyera_enterprise_<env>.gold_tips.meter_hierarchy -> keyera_enterprise_<env>gold_production_accounting.meter_hierarchy

keyera_enterprise_<env>.gold_tips.posted_volume -> keyera_enterprise_<env>.gold_production_accounting.posted_volume

keyera_enterprise_<env>.gold_tips.deduction_report -> keyera_enterprise_<env>gold_production_accounting.deduction_report

# the new schema ""gold_production_accounting"" to be created under keyera_enterprise_<env>

# Ensure that the tables are completely moved from the old schema (there is no copy remaining in gold_tips)

# Ensure ETL Code is updated to read and write to the new locations.

CC: [~accountid:712020:1019fe96-0c82-49df-a1a1-1addad717125] ",01/Aug/25 2:01 PM;61d60cf3e7637900680e44d0;[~accountid:712020:a1251549-b5e9-429e-bdac-bfe9b030be91] [~accountid:712020:1019fe96-0c82-49df-a1a1-1addad717125] Confirmed. Thanks Polina!,,,,,,,,,,,,37119,DF-16,TIPS Volumetric Data by Customer,In Progress,30/Jul/25 9:45 AM
Rename naming convention in Databricks Bundles (Commercial),DF-672,41571,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mateo Fidabel,712020:1019fe96-0c82-49df-a1a1-1addad717125,Mateo Fidabel,712020:1019fe96-0c82-49df-a1a1-1addad717125,30/Jul/25 7:14 AM,17/Sep/25 12:33 PM,,,,,,,,,,,,,0,,,,,"||*Old Naming Convention*||*New naming convention*|| ||
|workspace admin|Enterprise | Workspace Admin | <Workspace>| |
|data engineer|Enterprise | Data Engineer | <Workspace>| |
|analysts|Enterprise | Developer | <Workspace>| |
|business area | analyst|business area | Analyst | Internal | <Workspace>| |
|business area | dashboard-only|business area | Consumer | Internal | <Workspace>| |",,Mateo Fidabel,,,,,,,,712020:1019fe96-0c82-49df-a1a1-1addad717125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@46658d0,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03zvk:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41162,DF-648,Databricks Groups (Terraform),To Do,30/Jul/25 7:14 AM
Rename naming convention in Databricks Bundles (Analytics & Data-Extraction),DF-671,41568,Sub-task,Deploy,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Lee Pattison,61d60cf3e7637900680e44d0,Mateo Fidabel,712020:1019fe96-0c82-49df-a1a1-1addad717125,Mateo Fidabel,712020:1019fe96-0c82-49df-a1a1-1addad717125,30/Jul/25 7:14 AM,17/Sep/25 12:33 PM,,,,,,,,,,,,,0,,,,,"||*Old Naming Convention*||*New naming convention*|| ||
|workspace admin|Enterprise | Workspace Admin | <Workspace>| |
|data engineer|Enterprise | Data Engineer | <Workspace>| |
|analysts|Enterprise | Analysts | <Workspace>| |
|developers|Enterprise | Developer | <Workspace>| |
|business area | analyst|business area | Analyst | Internal | <Workspace>| |
|business area | dashboard-only|business area | Consumer | Internal | <Workspace>| |",,Alejandro Cabral,Mateo Fidabel,Scott Drennan,,,,,,712020:cb9e83dc-57be-43ee-bb65-f55850e05abb,712020:1019fe96-0c82-49df-a1a1-1addad717125,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a38f452,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03zvc:,,,,,,,,,,,,,,,,2025-08-08 16:32:39.561,,30/Jul/25 8:59 AM;712020:1019fe96-0c82-49df-a1a1-1addad717125; [~accountid:712020:32c2239a-0e07-4ec9-9631-3c8768666b03] [~accountid:61d60cf3e7637900680e44d0] I created this subtask to get databricks bundles to work with the new naming convention,"08/Aug/25 10:32 AM;712020:cb9e83dc-57be-43ee-bb65-f55850e05abb;Update: 
- New naming convention for {{analysts}} group will now be {{ Enterprise | Analysts | <Workspace>}}
- added a new persona {{developer}} that will be assigned the naming convention {{Enterprise | Developer | <Workspace>}}

Updated the description to match this [~accountid:712020:1019fe96-0c82-49df-a1a1-1addad717125] ","18/Aug/25 6:42 AM;712020:cb9e83dc-57be-43ee-bb65-f55850e05abb;Hi, This was merged to the repo on [Pull Request #35: Updated gold tips tables and added maximo metadata — Bitbucket|https://bitbucket.org/keyeradataservices/keyera-databricks/pull-requests/35]",19/Aug/25 10:04 AM;712020:1019fe96-0c82-49df-a1a1-1addad717125;[~accountid:61d60cf3e7637900680e44d0]  this is just an update to the Databricks Bundles to use the new naming convention. There is nothing here to user test. We can move it to done.,09/Sep/25 1:15 PM;712020:32c2239a-0e07-4ec9-9631-3c8768666b03;[~accountid:712020:1019fe96-0c82-49df-a1a1-1addad717125] Hey - I moved this to Deploy as it’s not currently deployed in prod.,,,,,,,,,41162,DF-648,Databricks Groups (Terraform),In Progress,30/Jul/25 7:14 AM
Licencing for Power BI (pro users vs. premium workspaces),DF-670,41565,Sub-task,Done,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Dhruv Modi,712020:3c1bf772-ab2c-4358-82e5-e53cb9bc2bca,Dhruv Modi,712020:3c1bf772-ab2c-4358-82e5-e53cb9bc2bca,Dhruv Modi,712020:3c1bf772-ab2c-4358-82e5-e53cb9bc2bca,29/Jul/25 4:24 PM,17/Sep/25 12:33 PM,,,,,,,,,,,,,0,,,,,,,Dhruv Modi,,,,,,,,712020:3c1bf772-ab2c-4358-82e5-e53cb9bc2bca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c97e54f,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03zv4:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38395,DF-337,Document Technical Standards for Power BI Integration,Done,29/Jul/25 4:25 PM
Roles in workspaces in Power BI,DF-668,41503,Sub-task,Done,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Dhruv Modi,712020:3c1bf772-ab2c-4358-82e5-e53cb9bc2bca,Dhruv Modi,712020:3c1bf772-ab2c-4358-82e5-e53cb9bc2bca,Dhruv Modi,712020:3c1bf772-ab2c-4358-82e5-e53cb9bc2bca,29/Jul/25 11:49 AM,17/Sep/25 12:33 PM,,,,,,,,,,,,,0,,,,,,,Dhruv Modi,,,,,,,,712020:3c1bf772-ab2c-4358-82e5-e53cb9bc2bca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b1933ca,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03zpc:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38395,DF-337,Document Technical Standards for Power BI Integration,Done,29/Jul/25 11:50 AM
Complete Keyera Price Deck Production Ingestion,DF-667,41484,Sub-task,User Testing,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Ananya Jain,712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62,Angie Shin,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,Angie Shin,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,29/Jul/25 10:49 AM,17/Sep/25 12:40 PM,,,,LakehouseETL-1.5.0,,,,,,,,,0,,,,,"Keyera Price Deck: 

* Bronze layer is missing and needs to be created
* Silver:  [+https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/2906766104337652?o=3871344541893490+|https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/2906766104337652?o=3871344541893490]  

* Gold:  [+https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/1743983953646658?o=3871344541893490+|https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/1743983953646658?o=3871344541893490] 



# Zach and Stoic take accountability to productionize the ingestion within the extraction workspace and repos.
## ETL jobs should follow existing standards and may need to be modified from the prototype.
## Tables names should follow the standard convention and may need to be modified from the prototype.
## Gold tables should retain their structures as defined in the prototype to ensure downstream visuals function
## Upon completion of a code review for an ingestion, all inputs should be considered frozen
## All sources in scope should be considered ‘Internal’ and all resulting gold level tables secured by the ‘Enterprise | Consumer | Internal | <Workspace>’ group
## For sources that use a CSV, defining and building the ingestion pipeline from the original file location is in scope.
### For Woodmac and the Keyera Price Deck the starting file location should be a volume in a Unity Catalog location. A user will be required to place a file at that location

Expected Refresh Frequency and Ingestion Pattern:

||*Source*||*Frequency*||*Ingestion Pattern*||
|Keyera Price Deck|Semi-annual|CSV (user triggered)|",,Alejandro Cabral,Angie Shin,Polina Pranova,,,,,,712020:cb9e83dc-57be-43ee-bb65-f55850e05abb,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,712020:a1251549-b5e9-429e-bdac-bfe9b030be91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF-731,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e75de80,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03zmg:,,,,,,,,,,,,,,,,2025-09-05 19:35:34.836,,"05/Sep/25 1:35 PM;712020:a1251549-b5e9-429e-bdac-bfe9b030be91;Released to TEST env. for User Testing in Keyera Lakehouse Version 1.5.0.

CC; [~accountid:61d60cf3e7637900680e44d0] [~accountid:712020:1019fe96-0c82-49df-a1a1-1addad717125] [~accountid:712020:c79871b4-3321-48a4-b4ae-d1a84eb31c0b] ","15/Sep/25 11:23 AM;712020:cb9e83dc-57be-43ee-bb65-f55850e05abb;The original code for this was merged on [v1.5.0|https://bitbucket.org/keyeradataservices/keyera-databricks/pull-requests/37]. 
The new notebook updates from [https://keyera.atlassian.net/browse/DF-731|https://keyera.atlassian.net/browse/DF-731|smart-link], were merged on [v1.6.1|https://bitbucket.org/keyeradataservices/keyera-databricks/pull-requests/39], and are now deployed to TEST as well. Please keep this in mind for user-testing. cc: [~accountid:712020:a1251549-b5e9-429e-bdac-bfe9b030be91] ",,,,,,,,,,,,40641,DF-624,Fundamentals dashboard ingestion code for review and pipelining ,In Progress,11/Aug/25 3:12 PM
Complete Keyera Price Deck Prototype,DF-666,41481,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Angie Shin,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,Angie Shin,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,Angie Shin,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,29/Jul/25 10:49 AM,17/Sep/25 12:33 PM,,,,,,,,,,,,,0,,,,,,,Angie Shin,,,,,,,,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16b2b8f4,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03zm8:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40641,DF-624,Fundamentals dashboard ingestion code for review and pipelining ,To Do,29/Jul/25 10:49 AM
Complete Keyera Price Deck Code Review,DF-665,41478,Sub-task,Done,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Angie Shin,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,Angie Shin,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,Angie Shin,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,29/Jul/25 10:49 AM,17/Sep/25 12:33 PM,,,,,,,,,,,,,0,,,,,,,Angie Shin,,,,,,,,712020:2a712a87-48a4-45cf-b143-7b95575a34cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b7d0864,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03zm0:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40641,DF-624,Fundamentals dashboard ingestion code for review and pipelining ,Done,29/Jul/25 10:49 AM
Create Dashboard of Catalog Content,DF-664,41475,Story,Rejected,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Scott Drennan,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,Scott Drennan,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,Scott Drennan,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,29/Jul/25 9:37 AM,17/Sep/25 12:33 PM,,,,,,,,,,,,,0,,,,,,,Scott Drennan,,,,,,,,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a500f6e,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03zls:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41402,DF-656,Databricks Platform Administration,Done,28/Aug/25 2:27 PM
