key,summary,type,status,priority,created_ok,updated_ok,dates_ok,required_ok,key_format_ok,unique_key_ok,link_ref_errors
DF-722,Restructure Group Entitlements Silver Query,Story,Done,Medium,True,True,True,True,True,True,0
DF-721,Technical Documentation,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-720,Incorrect percent in historical proportions (in new schema only),Bug,User Testing,Medium,True,True,True,True,True,True,0
DF-719,setup production maximo SQL replication and accounts,Story,Deploy,Medium,True,True,True,True,True,True,0
DF-718,"silver_maximo table metadata -- in ""comments"" please show ""attributename - title - remarks""",Improvement,User Testing,Medium,True,True,True,True,True,True,0
DF-717,Update daily and/or monthly FWA logic to use ingested MMS tables,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-716,Create sample analysis data table,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-715,Move Dashboard Usage workflow from key-databricks-emissions,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-714,silver_maximo table metadata is not applied,Bug,User Testing,Medium,True,True,True,True,True,True,0
DF-713,Metadata - map out how we will and should use it - and how we will use it to metric,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-712,Schema and security group hierarchy,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-711,Admin Application,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-710,"Databricks MCP Agent for Code Helpers (VS Code, Q Developer and Github copilot)",Story,Backlog,Medium,True,True,True,True,True,True,0
DF-709,"PAT Personal Access Tokens, or OAuth?",Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-708,Get access to QPOST_RPTS_INVOICE_DTL_CAN for Stoic,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-707,Define service principal and secrets to query rest api,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-706,Add keyera_utilities_<env> to terraform,Story,In Progress,High,True,True,True,True,True,True,0
DF-705,Clean up gold_tips schema,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-704,Manage view permissions to dashboards via bundle yml,Story,Backlog,High,True,True,True,True,True,True,0
DF-703,SCD2 Duplicates in silver_volumetrics.daily_production_volumes,Bug,In Progress,Medium,True,True,True,True,True,True,0
DF-702,Add Global ETL User entitlement to the Workspace Admin in Terraform,Bug,In Evaluation,Medium,True,True,True,True,True,True,0
DF-701,Maximo Metadata Job can't be created on deployment,Bug,Done,Medium,True,True,True,True,True,True,0
DF-700,Review and Handover Deductions Query Logic,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-699,Implement Transformation Logic and Create Final Gold Deductions Table,Sub-task,Blocked,Medium,True,True,True,True,True,True,0
DF-698,Ingest QPOST_RPTS_INVOICE_DTL_CAN to Silver Layer,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-697,Create and Validate Deductions Query to Match Meta-data Structure,Sub-task,Blocked,Medium,True,True,True,True,True,True,0
DF-696,Correct Deductions Table,Task,In Progress,Medium,True,True,True,True,True,True,0
DF-695,"""Analyst"" groups should not be able to read data outside of sandbox",Bug,Approved to Start,Medium,True,True,True,True,True,True,0
DF-694,eONE - Facility Balance Report,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-693,Add Strachan daily mass tag to volumes dashboard (CLC_DAY_MSS_FLO_SUM),Story,Done,Medium,True,True,True,True,True,True,0
DF-692,Create visualization (dashboard) prototype,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-691,"Remove ""Enterprise | Analyst ..."" groups",Bug,Approved to Start,Medium,True,True,True,True,True,True,0
DF-690,Correct missing meta-data,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-689,Create Translated Tables,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-688,MMS Postgres Database Table Ingestion,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-687,Add dashboard permissions,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-686,Remove Daily Production volumes job and measurements dashboards from Emissions bundle,Story,Done,Medium,True,True,True,True,True,True,0
DF-685,Update Unity Catalog schema names,Sub-task,In Progress,Medium,True,True,True,True,True,True,0
DF-684,Remove <catalog>.<domain>_all schemas,Bug,Done,Medium,True,True,True,True,True,True,0
DF-683,Define data governance and  sustainment  of the mapping table,Sub-task,In Progress,Medium,True,True,True,True,True,True,0
DF-682,key_extensionrationale column can't be resolved on TEST Incident Gold Table,Bug,Deploy,Medium,True,True,True,True,True,True,0
DF-681,Remove QByte DMS Ingestion from Databricks,Story,Deploy,Medium,True,True,True,True,True,True,0
DF-680,Customer Summary View can't be replaced. Permission Error,Bug,Done,Medium,True,True,True,True,True,True,0
DF-679,Query Databricks Groups,Story,Done,Medium,True,True,True,True,True,True,0
DF-678,Maximo DATETIME fields are nontimezone where databricks DATETIMEOFFSET incl timezone,Bug,Done,Medium,True,True,True,True,True,True,0
DF-677,Create AD Groups - IGNORE THIS,Sub-task,Rejected,Medium,True,True,True,True,True,True,0
DF-676,Assign ACL to schemas,Story,Deploy,Medium,True,True,True,True,True,True,0
DF-675,Add facility names to all gold tables,Story,Done,Medium,True,True,True,True,True,True,0
DF-674,"Move Customer Summary, Customer_volume_historical_proportions to new schema",Story,User Testing,Medium,True,True,True,True,True,True,0
DF-673,"Move Posted Volume, Deductions, and Meter Hier. to new schema",Story,User Testing,Medium,True,True,True,True,True,True,0
DF-672,Rename naming convention in Databricks Bundles (Commercial),Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-671,Rename naming convention in Databricks Bundles (Analytics & Data-Extraction),Sub-task,Deploy,Medium,True,True,True,True,True,True,0
DF-670,Licencing for Power BI (pro users vs. premium workspaces),Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-668,Roles in workspaces in Power BI,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-667,Complete Keyera Price Deck Production Ingestion,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-666,Complete Keyera Price Deck Prototype,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-665,Complete Keyera Price Deck Code Review,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-664,Create Dashboard of Catalog Content,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-663,Duplicates in gold_volumetrics.daily_production_volumes_last_14_days,Bug,Done,High,True,True,True,True,True,True,0
DF-662,Create job and bundle to run notebook,Sub-task,Rejected,Medium,True,True,True,True,True,True,0
DF-661,Update notebook to use SharePoint locations,Sub-task,Rejected,Medium,True,True,True,True,True,True,0
DF-660,Create notebook to ingest Excel files from volume,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-659,Update Terraform Scripts,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-658,Create AD groups,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-657,Create pipeline to ingest project management metadata,Story,Done,Medium,True,True,True,True,True,True,0
DF-656,Databricks Platform Administration,Epic,In Progress,High,True,True,True,True,True,True,0
DF-654,Productionize S&P Global Gold Table,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-653,Figure out plan to point existing Measurements dashboards to the new bundle,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-652,"Change job schedule to run from 7am to 10am, and 2pm to 4pm (0 10,25,40,55 7-10,14-15 * * ?)",Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-651,Change unvalidated table to pull previous pday,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-650,Setup Admin repo,Story,Done,Medium,True,True,True,True,True,True,0
DF-649,Transition to Sustainment,Story,Done,Medium,True,True,True,True,True,True,0
DF-648,Databricks Groups (Terraform),Story,User Testing,Highest,True,True,True,True,True,True,0
DF-647,Create Customer Databricks Security Group for Demo TIPS,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-646,Complete Blather Production Ingestion,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-645,Complete Blather Code Review,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-644,Complete Blather Prototype,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-643,Complete Energy Aspects Production Ingestion,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-642,Complete Energy Aspects Code Review,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-641,Complete Energy Aspects Prototype,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-640,Complete Argus Production Ingestion,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-639,Complete Argus Code Review,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-638,Complete Argus Prototype,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-637,Complete Woodmac Production Ingestion,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-636,Complete Woodmac Code Review,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-635,Complete Woodmac Prototype,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-634,Complete S&P Production Ingestion,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-633,Perform S&P Code Review,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-632,Complete S& Prototype,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-631,Setup read only credentials to MMS database,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-630,Parse Maximo metadata,Story,Deploy,Medium,True,True,True,True,True,True,0
DF-629,Apply Table Metadata from Maximo Metadata Tables,Story,Deploy,Medium,True,True,True,True,True,True,0
DF-628,Ingest Table Metadata from Maximo Metadata Tables,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-627,Providing PAs with access to TIPS PA reports,Task,In Progress,Medium,True,True,True,True,True,True,0
DF-626,Volumes by Stations - Report,Story,Done,Medium,True,True,True,True,True,True,0
DF-625,Create Customer Portfolio Dashboard for Trucks,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-624,Fundamentals dashboard ingestion code for review and pipelining,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-623,Create output table definitions,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-622,Create PowerBI report,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-621,Create monthly_flow_weighted_average table,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-620,Create daily_flow_weighted_volumes table,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-619,Review required MMS tables,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-618,Maximo - Promote PO + POLINE tables from silver to production w/restricted/pii,Epic,In Evaluation,Medium,True,True,True,True,True,True,0
DF-617,"Set schedule so that it is offset to run at 10 mins past the hour (e.g. 6:10, 6:25, 6:40....). Keep run from 6am to 12pm.",Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-616,Change unvalidated_last_7_days to pull last 2 days instead to improve performance,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-615,Gold 3: G&P BD - Customer Volume Historical Proportions table - testing,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-614,Consolidate eOne and QByte replication to single DMS Instance,Story,In Progress,High,True,True,True,True,True,True,0
DF-613,Deploy SNS notification when health check alarm is triggered,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-612,"document terraform, how it works, how remote terraform state is implemented",Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-611,Benny health check notifications,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-610,Migrate CI/CD pipelines to use OIDC,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-609,Composition Data and Flow Weighted Average for Any MMS meter,Epic,In Progress,Medium,True,True,True,True,True,True,0
DF-608,How to secure/mask PII/Confidential Data in PO and POLINE table.,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-607,Get Alvaro a VDI to access mxdev6.keyera.com,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-606,Marco/JY - make sure all indexes are replicated in replication.  currently only index1 (clustered) is replicated,Story,Done,Low,True,True,True,True,True,True,0
DF-605,"Marco - todo -  add 3 tables to test replication pub and sub: maxobjcfg, maxattribute, synonymdomain",Task,Done,Medium,True,True,True,True,True,True,0
DF-604,Update Knowledge Base and related citation links with latest documents,Task,Rejected,Medium,True,True,True,True,True,True,0
DF-603,create gold model table: incident,Task,Deploy,Medium,True,True,True,True,True,True,0
DF-602,create gold model table: woactivity,Task,Deploy,Medium,True,True,True,True,True,True,0
DF-601,Update ingestion from DMS to Source,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-600,OS BD & Logistics (eONE & Qbyte),Epic,In Evaluation,Medium,True,True,True,True,True,True,0
DF-599,Ingest Maximo Tables from the API,Story,Approved to Start,Low,True,True,True,True,True,True,0
DF-598,PROD Knowedge Base deploy,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-596,Implement Reference Tables in Databricks,Sub-task,Done,High,True,True,True,True,True,True,0
DF-595,Ingest Source Tables,Story,Deploy,Highest,True,True,True,True,True,True,0
DF-594,Create Terraform for Service Credentials to Connect Databricks to the LAMBDA API,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-592,Deal Capture,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-591,Facilities Emissions R3,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-590,Schematic Pro Data,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-589,Automation of Equipment Runtime Hours & Load,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-588,EnviroSoft & GasTrac Data for Emissions,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-587,OnBase,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-585,PIMS Project Management Data,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-584,Rail Logistics,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-583,EnergySys Pipeline Logistics,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-582,Update metadata template for gold products,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-581,Update ingestion from DMS to Source,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-580,Qbyte Gold Tables,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-579,Best practices related to Native Queries vs. mCode vs. Dax,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-578,Update the query for the dashboard and add it to the dashboard,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-577,Update the Table to contain the missing tags,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-576,Measurement: Production Volumes Databricks Dashboard Data to Excel for the end user,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-575,Adding Missing Data - Measurement: Production Volumes Databricks Dashboard,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-574,Access Control & Networking Security with Power BI & Databricks (get reference from Dhruv),Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-573,Connection of Excel to Semantic Models (Dhruv),Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-572,Use of deployment pipelines in Power BI (or not) (Dhruv),Sub-task,In Progress,Medium,True,True,True,True,True,True,0
DF-571,Version control on Power BI reports (Dhruv),Sub-task,In Progress,Medium,True,True,True,True,True,True,0
DF-570,Best practices related to Direct Query vs. Import (Dhruv),Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-569,Add/Confirm Service Account Permissions for AD Group(s) - Fundamentals,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-568,Add/Confirm Service Account Permissions for AD Group(s) - G&P,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-567,Add/Confirm Service Account Permissions for AD Group(s) - Logistics,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-566,Add/Confirm Service Account Permissions for AD Group(s) - Wapiti Emissions,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-565,Add/Confirm Service Account Permissions for AD Group(s) - Measurement,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-564,Create silver unvalidated_last_7_days table (DEV),Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-563,Gain TEST access to SCTRL_MTR_HEADER_CAN_VW and QCTRL_PLANT_HDR,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-562,Gain PROD access to SCTRL_MTR_HEADER_CAN_VW and QCTRL_PLANT_HDR,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-561,Ingest SCTRL_MTR_HEADER_CAN_VW table,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-560,Create bronze raw volumes external table (DEV/TEST),Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-559,Create IAM role and Databricks credential (DEV/TEST),Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-558,Q2 Report Development,Epic,Done,Medium,True,True,True,True,True,True,0
DF-557,Migrate Measurements-owned resources from emissions repo,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-556,Create Measurements code repository,Story,Done,Medium,True,True,True,True,True,True,0
DF-553,Lead team in creating bit bucket pipeline for Benny deploys (work off of what is done for Generic Chatbot,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-552,Make a minor change (could be items coming out of code review) and deploy to Dev and Test.  Do a refresh of Test from Prod.  Utilize documen,Story,Blocked,Medium,True,True,True,True,True,True,0
DF-549,Support Santi through Dev environment setup.  Document it and then pass to Mike H to setup his environment,Story,Done,Medium,True,True,True,True,True,True,0
DF-548,document deployment procedure based on what was done to deploy recent UI updates on June 24,Story,Done,Medium,True,True,True,True,True,True,0
DF-547,Productionize ingestion pipeline,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-546,keyera_measurement_prod.gold_compositions.sample_analysis_data unity catalg schema does not update,Bug,Done,High,True,True,True,True,True,True,0
DF-545,Gold 8: G&P BD - Customer Volume Projections table,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-544,x - Missing reference tables,Sub-task,Rejected,Medium,True,True,True,True,True,True,0
DF-543,Ingest data from Energy Aspects API,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-542,Point to Test environment,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-541,Fix the broken link for Keyera Benefits & Retirement Guide - May 2025 file,Bug,Done,Medium,True,True,True,True,True,True,0
DF-540,Some parts of the app don't have the default font,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-539,SCI Review for DF-105 (Fundamentals Items),Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-538,SCI Review for DF-71 (Logistics Items),Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-537,Fix citations not saving with the bot's response after a refresh,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-536,Fix the successful authentication message design that appears right before the main app,Sub-task,Done,Low,True,True,True,True,True,True,0
DF-535,Balance Data - Sample Analysis data used for Composition Balance needed,Story,Approved to Start,High,True,True,True,True,True,True,0
DF-534,Create terraform scripts to support,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-533,Create terraform scripts to support,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-532,Create Terraform scripts to support the AD groups,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-531,Create Terraform Scripts to support,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-530,Fix the user greeting in the profile settings panel,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-529,Restore the dev and test badges in logos,Sub-task,Done,Low,True,True,True,True,True,True,0
DF-528,Production Volumes dashboard - only display .PDAY_VOL for FSPL meters,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-527,Revise the disclaimer with an updated version from legal,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-526,Restore the welcome page,Bug,Done,Medium,True,True,True,True,True,True,0
DF-525,Define Data Product Requirements - Business Access to Comp Match data,Story,Approved to Start,Medium,True,True,True,True,True,True,0
DF-524,Create & Validate Databricks Dashboard,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-523,Create FreshService Catalog Items,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-522,Create Terraform Scripts,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-521,Create Databricks Groups,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-520,Create AD Groups,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-519,Create Data Access Package,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-518,Load Power BI metadata to Unity Catalog,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-517,Create FreshService Catalog Item,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-516,Create Power BI Workspace and Connection,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-515,Create Terraform Scripts,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-514,Create SQL Warehouse,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-513,Create Unity Catalog Schema,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-512,Create Databricks Group,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-511,Create AD Groups,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-510,Create Business Access Package,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-509,Create Data Transformation Pipeline,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-508,Ingest Data from Source System,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-507,Define Data Product Requirements,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-506,Create & Validate Power BI Semantic Model,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-505,KFS Emissions,Epic,Backlog,Medium,True,True,True,True,True,True,0
DF-504,Composition Data: Create Data Transformation Pipeline,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-503,Balance Data - Details and Composition Details require additional 'Reporting UOM' attribute,Story,Blocked,High,True,True,True,True,True,True,0
