Key,Key,Summary,Summary_suggested,Issue Type,Status,Assignee,Priority,Story Points,Epic Link,Fix Version/s,Labels,Components,flag_missing_ac,flag_no_estimate,flag_no_owner,flag_vague_summary,groomability_score,AC_suggested,Description,Description_suggested
DF-782,43457.0,Add UOM column to the Meter Hierarchy table,Add UOM column to the Meter Hierarchy table,Story,In Evaluation,Zackary Oleitschuk,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","As a Plant Accounting, I need to see the UOM applicable to each meter on the TIPS meter hierarchy.

*Technical details:*

# Add a column, titled “UOM” to the meter hierarchy table (keyera_enterprise_prod.gold_tips.meter_hierarchy). The column needs to appear between the DIPS_CD and the GOVT_CD columns. 
# For each line on the meter hierarchy table, determine the TIPS UOM by finding a matching combination of PROD_CD and DISP_CD in the keyera_enterprise_prod.gold_tips_reference.contractual_uom and its corresponding qty_uom_cd. If mutiple matches are found, use the most recent value based on the updt_dt value in the keyera_enterprise_prod.gold_tips_reference.contractual_uom table.

*Acceptance criteria:*

* The Meter Hierarchy table includes the UOM column.
* The UOM column includes correct UOM for each meter, derived from the combination of PROD_CD and DISP_CD for that meter, based on the keyera_enterprise_prod.gold_tips_reference.contractual_uom table

*Definition of Done:*

* Code is Written and Reviewed via Pull Request
* Code Passes Unit Tests
* Solution is Documented (README, docstrings, etc.).
* Terraform is Updated (to create resource dependencies like groups, Service Principals, catalogs, schemas, etc.)
* Development Deployment is Validated
* Story is Attached to a Release
* Release is Deployed to Test",
DF-781,43453.0,Create eONE gold tables,Create eONE gold tables,Story,In Evaluation,Scott Drennan,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-780,43451.0,Develop gold_measurement.op_data_quantity_daily table,Develop gold_measurement.op_data_quantity_daily table,Story,In Evaluation,,Medium,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","h3. *Summary*

Operational daily data such as temperature, pressure, densities, etc. used by the Measurement & Analytics team to perform validation activities on meters and tanks. Also used by other downstream users for various purposes.

h3. Business Value/Outcome

In-depth examination of measurement inaccuracies or system issues to enhance operational efficiency and data reliability.

h2. Table Specs

TODO

h2. Acceptance Criteria

* Table created as per specifications
* Table Metadata - Table is tagged with metadata, table and column descriptions loaded into Databricks
* Access provisioned to table as per requirements

h2. Definition of Done

* Code is Written and Reviewed via Pull Request
* Code Passes Unit Tests
* Solution is Documented (README, docstrings, etc.).
* Terraform is Updated (to create resource dependencies like groups, Service Principals, catalogs, schemas, etc.)
* Development Deployment is Validated
* Release is identified and attached 
* Code and Data Product is deployed to Test as part of a release
* Code/Data Product passed user testing in Test",
DF-779,43450.0,Develop gold_measurement.op_data_quantity_minute table,Develop gold_measurement.op_data_quantity_minute table,Story,In Evaluation,,Medium,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","h3. *Summary*

Operational minute data such as temperature, pressure, densities, etc. used by the Measurement & Analytics team to perform validation activities on measurement devices.

h3. Business Value/Outcome

In depth analysis of potential measurement error or system issues. 

h2. Table Specs

[Operational Data Quantity - Minute - Data Foundations - Confluence|https://keyera.atlassian.net/wiki/spaces/DF/pages/85557249/Operational+Data+Quantity+-+Minute]

h2. Acceptance Criteria

* Table created as per specifications
* Table Metadata - Table is tagged with metadata, table and column descriptions loaded into Databricks
* Access provisioned to table as per requirements

h2. Definition of Done

* Code is Written and Reviewed via Pull Request
* Code Passes Unit Tests
* Solution is Documented (README, docstrings, etc.).
* Terraform is Updated (to create resource dependencies like groups, Service Principals, catalogs, schemas, etc.)
* Development Deployment is Validated
* Release is identified and attached 
* Code and Data Product is deployed to Test as part of a release
* Code/Data Product passed user testing in Test",
DF-778,43445.0,Bug ticket for Rimbey Compliance Summary Not Adding Up for Certain Months,Bug ticket for Rimbey Compliance Summary Not Adding Up for Certain Months,Bug,Approved to Start,Pauline Telan,Medium,,,,Emissions,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","Rimbey’s reported compliance cost is too high for January, March, May, June 2025 in the Detailed Emissions dashboard. 

The issue seems to be the Total Direct Emissions metric under the Compliance Summary. The Detailed Emissions graph is only reporting a value of ~25k for May and June 2025 however, the Compliance Summary graph is inflated. Compliance Summary values should be the same as the Detailed Emissions values.

!image-20250916-163653.png|width=342%,alt=""image-20250916-163653.png""!",
DF-777,43442.0,Measurement & Analytics - Quality Data,Measurement & Analytics - Quality Data,Epic,Backlog,,High,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",Quality and Compositional data managed by the Measurement & Analytics team is required for multiple downstream processes.,
DF-776,43119.0,Create Ingestion Pipeline Using gDC Data,Create Ingestion Pipeline Using gDC Data,Task,In Progress,Jacob McCarthy,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-775,43117.0,Create Databricks Dashboard,Create Databricks Dashboard,Task,Done,Jacob McCarthy,Low,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-774,43115.0,Creating dashboard displaying WCSB facility data and an ingestion pipeline to automatically update dashboard data,[Epic] Creating dashboard displaying WCSB facility data and an ingestion pipeline to automatically update dashboard data esquema parquet → A,Epic,In Progress,Jacob McCarthy,Medium,,,,,Data Analysis,True,True,False,False,55,"1) Given lotes parquet heterogéneos When aplico normalizador Then el output respeta esquema canónico v1 y extras→`extras.json`
2) Given cambio de tipo en columna When corre el pipeline Then se bloquea el merge y se adjunta diff de esquema",The WCSB Dashboard will include NGL and Raw Gas data from various facilities in the WCSB Area. The dashboard will use an automated ingestion pipeline that will pull data from an external database into Databricks  ,
DF-773,43114.0,Measurement & Analytics - Quality - Quality Accounting,Measurement & Analytics - Quality - Quality Accounting,Story,Backlog,,High,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","h1. User Story

As a downstream user involved with production accounting, allocation, logistics, business development, or sustainability, I require quality data to support the WATF/EQ processes, including the LPG, Gas, Cond, and Keyera C5+ EQ analysis groups.

This data should be made available in one or more gold tables. The data must be suitable for use in external facing accounting activities such as invoicing and billing.

(i) *Data Product Type:* Core Dataset

(/)  *In-Scope:* Ingestion of necessary source data, construction of one or more gold tables

(x) *Out-of-Scope:* Creation or modification of new or existing reports (to be completed by business team)



*Link to details:* [https://keyera.atlassian.net/wiki/spaces/DF/pages/85819633/Quality+Accounting|https://keyera.atlassian.net/wiki/spaces/DF/pages/85819633/Quality+Accounting|smart-link]

----

h1. Acceptance Criteria

* Data sources have been ingested following architectural standards.
* Gold table contains clean, deduplicated, and fully typed data.
* Gold table contains metadata as per metadata standards.
* Gold table is created as per table specifications.
* Access provisioned to table as per requirements.

{panel:bgColor=#e3fcef}
Please use delivery checklist (right-hand panel) to track the “Definition of Done.”
{panel}",
DF-772,43110.0,In Databricks show the last susccessful sql replication,In Databricks show the last susccessful sql replication,Story,In Evaluation,Jonathan Yun,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","todo: get sql query from systable



----

 some working queries

{noformat}-- shows cluster status
SELECT 
* from sys.availability_replicas

-- might be this but no axs to run:
SELECT 
* from sys.dm_repl_traninfo
{noformat}",
DF-771,43093.0,Ingesting time and processing Schedule,Ingesting time and processing Schedule,Story,In Progress,Jonathan Yun,High,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","Align the refresh schedule of various ingestion to ensure we get the best/most accurate data for the start of the day.  

Ensure import Maximo jobs have already run.  For example, the work order generation starts at 12:30 am so the current replication starting at 12:05 am will not have the new work orders for the day.

SQL replication is causing a que of 6 blocks at 12:05 PM (24:05).  we get alerts over 5.  no blocks at 12:05 am

Actions: 

* done: list current Refresh times and major crons/reports in maximo
* todo review recommendations with [~accountid:5bda1b59653a520f925ab8b9] and [~accountid:62a10b3e1be00a0068ae38a5] and lee pattison + architechture group meeting
* todo: discuss with mateo and zach



Recommendation: 

* change mx crons to be between 12am and 2:30 am
* sql repl 3:05
* databricks ingestion 3:30

|| || || ||
| |current|proposed|
|sql replication form maxprod - replxmxprod-sub|12:05 AM + 24:05 AM|3:05 AM|
|databricks job (bronze silver gold – all jobs on single sched specific for maximo)|???| |



*MAJOR EVENTS/JOBS:* 

|| || || || ||
| |PURPOSE|CURRENT| |
|UNRELATED – but take like 10mins to refresh PowerBI AMR reports| |10:30 PM, 6AM, 9AM, 12PM 3PM| |
|RELATED: Windows Server Patching|monthly automated patching.  when server is patching, its not able to gen work.  i think greg starts the patches staggered.  only 144 matters at 11pm|CGYMSAPPXXIF1
SG_WSUS_PROD_THU_11PM
\\
CGYMSAPPXXRPT1 XXUI1 XXUI2 SG_WSUS_PROD_FRI_12AM| |
|SQL Server Patching|should not have impact as cluster will be active (failover)|CGYMSDBPXXX_NODE1
SG_WSUS_PROD_SUN_7PM
CGYMSDBPXXX_NODE2
SG_WSUS_PROD_SUN_9PM
\\
CGYMSDBP141 REPLICATION SERVER
SG_WSUS_PROD_SUN_8PM| |
|SQL SERVER commvault backups| |6pm + hourly incremental
(and 6am for refresh tool)| |
|CRON PMWOGENCRON1 key_pmwogen|Maximo Preventative Maintenance Work Order Generation Cron – plans create work orders based based on lead time – wo used by schedulers usually with 14 or 30 day lead time for monday morning report/meetings|12:30 AM| |
|CRON KEY_AMRWOCOMPLIANCE|stored proc snapshop workorder schedules to reporting table for a POWERBI report above.|2:30 AM|CHANGE to 2:15 AM|
|ESC KEY_EVENTCLOSE|Keyera escalation (cron) to auto close resolved incidents|SUNDAY 3AM|change to  1:45 AM|
|ESC KEY_CLOSRSR|Close Service Request Related to Closed Work Orders|DAILY 1:15AM| |
|ESC KEY_CLOSEWO|Close Work Order -- 2024 COMP NONCOMP|DAILY 1:00 AM| |
|ESC KEY_CLOSEMOC|Close the MOC in COMP status over 90 days|DAILY 6:00 AM|CHANGE TO 1:30 AM|
|QBYTE VENDOR/GL integration
IGNORE| |HOURLY| |
|THOMPSON REUTERS EXECHANGE RATE
IGNORE|to get yesterday rates|DAILY 11:00 AM + 11:15AM| |",
DF-770,43061.0,Apply metadata and documentation,Apply metadata and documentation,Story,Backlog,,Medium,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-769,43060.0,Create keyera_enterprise_*.gold_measurement.operational_data_quantity_daily table,Create keyera_enterprise_*.gold_measurement.operational_data_quantity_daily table,Story,Backlog,,Medium,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","h2. Acceptance Criteria



h2. Definition of Done

* Code is written and reviewed via pull request
* Terraform is Updated 
* Code is deployed to Test
* Bronze (if applicable) and Silver Source Tables Exist in Test
* Deployment activities are documented in Confluence
* Table specs document updated in Confluence 
* Table contains metadata and tags",
DF-768,43059.0,1 - Develop Solution design,1 - Develop Solution design,Story,Backlog,Pauline Telan,Medium,,,,Measurement,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","h2. Definition of Done

* -Table specifications template completed in Confluence-",
DF-767,43058.0,0 - Document Business Requirements,0 - Document Business Requirements,Story,Backlog,,Medium,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","As a business analyst, I want to capture and document the business requirements for the volumetric-accounting gold table so that the dev team can design and implement the table accurately to meet business needs.

h2. Acceptance Criteria

* Requirements are clear, complete and unambiguous
* Scope, assumptions and dependencies are documented
* Requirements are reviewed and approved by stakeholders
* Documentation is stored on agreed repository

h2. Definition of Done

* Source Tables Identified
* Business Requirements Signed-Off
* [Data Product Metadata|https://keyera.atlassian.net/wiki/spaces/DF/pages/79233034/Delivery+Checklist#Requirements-Development] Signed-Off 
* Added user story(ies) for each identified data product",
DF-766,43057.0,Create Operational Data Quantity - Daily table,Create Operational Data Quantity - Daily table,Epic,Backlog,,High,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","h3. *Summary*

Operational minute data such as temperature, pressure, densities, etc. used by the Measurement & Analytics team to perform validation activities on measurement devices.

h3. Business Value/Outcome

Month-end commercial allocations, operational reporting, and emissions reporting are vital for informed decision-making, operational efficiency, and regulatory compliance, contributing to the organization's strategic goals and financial performance.

(/)  *In scope:* Structure gold tables per business requirements

(x) *Out of scope:* Creation of new reports/analytics

----

h3. Table Specifications

{color:#ff991f}<todo>{color}

h3. Acceptance Criteria

* Table created as per specifications
* Table Metadata - Table is tagged with metadata, table and column descriptions loaded into Databricks
* Access provisioned to table as per requirements

h3. Definition of Done

* All DoD Criteria for associated user stories and tasks have been completed and signed off.
* Business UAT Completed
* Business Sign-off received",
DF-765,43054.0,Apply metadata and documentation,Apply metadata and documentation,Story,In Evaluation,,Medium,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-764,43052.0,Create keyera_enterprise_*.gold_measurement.operational_data_quantity_minute table,Create keyera_enterprise_*.gold_measurement.operational_data_quantity_minute table,Story,In Evaluation,,Medium,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","h2. Acceptance Criteria



h2. Definition of Done

* Code is written and reviewed via pull request
* Terraform is Updated 
* Code is deployed to Test
* Bronze (if applicable) and Silver Source Tables Exist in Test
* Deployment activities are documented in Confluence
* Table specs document updated in Confluence 
* Table contains metadata and tags",
DF-763,43050.0,1 - Develop Solution design,1 - Develop Solution design,Story,In Progress,Pauline Telan,Medium,,,,Measurement,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","h2. Definition of Done

* -Table specifications template completed in Confluence-",
DF-762,43048.0,0 - Document Business Requirements,0 - Document Business Requirements,Story,In Evaluation,Melanie Quon,Medium,,,,Measurement,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","As a business analyst, I want to capture and document the business requirements for the volumetric-accounting gold table so that the dev team can design and implement the table accurately to meet business needs.

h2. Acceptance Criteria

* Requirements are clear, complete and unambiguous
* Scope, assumptions and dependencies are documented
* Requirements are reviewed and approved by stakeholders
* Documentation is stored on agreed repository

h2. Definition of Done

* Source Tables Identified
* Business Requirements Signed-Off
* [Data Product Metadata|https://keyera.atlassian.net/wiki/spaces/DF/pages/79233034/Delivery+Checklist#Requirements-Development] Signed-Off 
* Added user story(ies) for each identified data product",
DF-760,43015.0,0 - Document business requirements,0 - Document business requirements,Story,Backlog,,Medium,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","As a business analyst, I want to capture and document the business requirements for the volumetric-accounting gold table so that the dev team can design and implement the table accurately to meet business needs.

h2. Acceptance Criteria

* Requirements are clear, complete and unambiguous
* Scope, assumptions and dependencies are documented
* Requirements are reviewed and approved by stakeholders
* Documentation is stored on agreed repository

h2. Definition of Done

* Source Tables Identified
* Business Requirements Signed-Off
* [Data Product Metadata|https://keyera.atlassian.net/wiki/spaces/DF/pages/79233034/Delivery+Checklist#Requirements-Development] Signed-Off 
* Added user story(ies) for each identified data product",
